# Spherical Bessel functions via up and down recursion
# x    d_rec    u_rec    gsl    relerr_ud   relerr_dg
6.300000  2.92566988e-03  2.92566988e-03  2.92566988e-03  3.42418266e-14  4.00229142e-14
6.400000  3.32398496e-03  3.32398496e-03  3.32398496e-03  5.67545221e-14  5.64935818e-14
6.500000  3.76523288e-03  3.76523288e-03  3.76523288e-03  1.49734465e-14  1.45703152e-14
6.600000  4.25259451e-03  4.25259451e-03  4.25259451e-03  1.12178331e-14  1.16257543e-14
6.700000  4.78932373e-03  4.78932373e-03  4.78932373e-03  6.51971433e-15  6.51971433e-15
6.800000  5.37873068e-03  5.37873068e-03  5.37873068e-03  2.49949435e-15  2.58012320e-15
6.900000  6.02416305e-03  6.02416305e-03  6.02416305e-03  7.91892504e-16  8.63882731e-16
7.000000  6.72898526e-03  6.72898526e-03  6.72898526e-03  1.14720410e-14  1.16653900e-14
7.100000  7.49655569e-03  7.49655569e-03  7.49655569e-03  7.75199156e-15  7.40488746e-15
7.200000  8.33020179e-03  8.33020179e-03  8.33020179e-03  2.18657326e-14  2.19698552e-14
7.300000  9.23319339e-03  9.23319339e-03  9.23319339e-03  6.29394772e-15  6.48182676e-15
7.400000  1.02087141e-02  1.02087141e-02  1.02087141e-02  8.92110229e-15  9.17599092e-15
7.500000  1.12598309e-02  1.12598309e-02  1.12598309e-02  1.77172465e-15  1.69469314e-15
7.600000  1.23894625e-02  1.23894625e-02  1.23894625e-02  3.92044911e-15  3.43039297e-15
7.700000  1.36003457e-02  1.36003457e-02  1.36003457e-02  9.69379656e-15  9.50247163e-15
7.800000  1.48950009e-02  1.48950009e-02  1.48950009e-02  4.25091663e-15  4.25091663e-15
7.900000  1.62756965e-02  1.62756965e-02  1.62756965e-02  1.01254487e-14  9.91228138e-15
8.000000  1.77444126e-02  1.77444126e-02  1.77444126e-02  2.05299515e-15  1.66194845e-15
8.100000  1.93028038e-02  1.93028038e-02  1.93028038e-02  5.75161535e-15  5.84148434e-15
8.200000  2.09521620e-02  2.09521620e-02  2.09521620e-02  2.56662906e-15  2.64942354e-15
8.300000  2.26933794e-02  2.26933794e-02  2.26933794e-02  1.52883662e-15  9.93743806e-16
8.400000  2.45269114e-02  2.45269114e-02  2.45269114e-02  1.83891113e-15  1.83891113e-15
8.500000  2.64527406e-02  2.64527406e-02  2.64527406e-02  2.95101962e-15  2.42639391e-15
8.600000  2.84703415e-02  2.84703415e-02  2.84703415e-02  2.43723593e-16  3.65585389e-16
8.700000  3.05786469e-02  3.05786469e-02  3.05786469e-02  3.40379380e-16  3.97109276e-16
8.800000  3.27760160e-02  3.27760160e-02  3.27760160e-02  1.37609191e-15  8.46825790e-16
8.900000  3.50602042e-02  3.50602042e-02  3.50602042e-02  2.17705044e-15  2.07809360e-15
9.000000  3.74283363e-02  3.74283363e-02  3.74283363e-02  3.70782919e-16  0.00000000e+00
9.100000  3.98768818e-02  3.98768818e-02  3.98768818e-02  3.48015873e-16  3.48015873e-16
9.200000  4.24016336e-02  4.24016336e-02  4.24016336e-02  1.30917482e-15  6.54587412e-16
9.300000  4.49976911e-02  4.49976911e-02  4.49976911e-02  1.54205555e-16  4.62616664e-16
9.400000  4.76594460e-02  4.76594460e-02  4.76594460e-02  5.09576395e-16  5.82373023e-16
9.500000  5.03805738e-02  5.03805738e-02  5.03805738e-02  2.20367285e-15  8.95242095e-16
9.600000  5.31540289e-02  5.31540289e-02  5.31540289e-02  1.30543141e-16  1.30543141e-15
9.700000  5.59720453e-02  5.59720453e-02  5.59720453e-02  4.95882819e-16  3.09926762e-16
9.800000  5.88261423e-02  5.88261423e-02  5.88261423e-02  2.35911914e-16  1.76933935e-16
9.900000  6.17071357e-02  6.17071357e-02  6.17071357e-02  5.62244044e-17  7.30917258e-16
10.000000  6.46051545e-02  6.46051545e-02  6.46051545e-02  1.07404648e-16  0.00000000e+00
10.100000  6.75096640e-02  6.75096640e-02  6.75096640e-02  1.02783713e-16  2.05567425e-16
10.200000  7.04094942e-02  7.04094942e-02  7.04094942e-02  0.00000000e+00  9.85505433e-17
10.300000  7.32928747e-02  7.32928747e-02  7.32928747e-02  5.68041076e-16  2.84020538e-16
10.400000  7.61474756e-02  7.61474756e-02  7.61474756e-02  4.55622058e-16  3.64497646e-16
10.500000  7.89604542e-02  7.89604542e-02  7.89604542e-02  8.78780900e-17  0.00000000e+00
10.600000  8.17185086e-02  8.17185086e-02  8.17185086e-02  1.69824291e-16  0.00000000e+00
10.700000  8.44079358e-02  8.44079358e-02  8.44079358e-02  8.22066532e-17  2.46619960e-16
10.800000  8.70146969e-02  8.70146969e-02  8.70146969e-02  0.00000000e+00  2.39231790e-16
10.900000  8.95244870e-02  8.95244870e-02  8.95244870e-02  7.75083347e-17  7.75083347e-17
11.000000  9.19228105e-02  9.19228105e-02  9.19228105e-02  3.01944375e-16  1.50972188e-16
11.100000  9.41950616e-02  9.41950616e-02  9.41950616e-02  0.00000000e+00  7.36651560e-17
11.200000  9.63266085e-02  9.63266085e-02  9.63266085e-02  7.20350691e-17  1.44070138e-16
11.300000  9.83028830e-02  9.83028830e-02  9.83028830e-02  0.00000000e+00  7.05868810e-17
11.400000  1.00109472e-01  1.00109472e-01  1.00109472e-01  1.38626121e-16  4.85191425e-16
11.500000  1.01732213e-01  1.01732213e-01  1.01732213e-01  1.36414881e-16  6.82074407e-17
11.600000  1.03157293e-01  1.03157293e-01  1.03157293e-01  2.01795540e-16  3.36325900e-16
11.700000  1.04371347e-01  1.04371347e-01  1.04371347e-01  1.32965495e-16  1.99448242e-16
11.800000  1.05361557e-01  1.05361557e-01  1.05361557e-01  6.58579286e-17  6.58579286e-17
11.900000  1.06115757e-01  1.06115757e-01  1.06115757e-01  1.30779709e-16  0.00000000e+00
12.000000  1.06622531e-01  1.06622531e-01  1.06622531e-01  6.50790585e-17  0.00000000e+00
12.100000  1.06871311e-01  1.06871311e-01  1.06871311e-01  1.29855128e-16  6.49275642e-17
12.200000  1.06852480e-01  1.06852480e-01  1.06852480e-01  5.19512055e-16  6.49390068e-17
12.300000  1.06557460e-01  1.06557460e-01  1.06557460e-01  1.30237599e-16  6.51187995e-17
12.400000  1.05978811e-01  1.05978811e-01  1.05978811e-01  1.24401267e-15  6.54743511e-17
12.500000  1.05110311e-01  1.05110311e-01  1.05110311e-01  6.66755026e-15  2.64061396e-16
12.600000  1.03947043e-01  1.03947043e-01  1.03947043e-01  4.67278876e-16  1.33508250e-16
12.700000  1.02485467e-01  1.02485467e-01  1.02485467e-01  1.35412251e-16  6.77061257e-17
12.800000  1.00723493e-01  1.00723493e-01  1.00723493e-01  2.75562083e-16  1.37781042e-16
12.900000  9.86605419e-02  9.86605419e-02  9.86605419e-02  1.40661986e-16  1.40661986e-16
13.000000  9.62975972e-02  9.62975972e-02  9.62975972e-02  2.16170313e-16  1.44113542e-16
13.100000  9.36372521e-02  9.36372521e-02  9.36372521e-02  7.41039890e-17  7.41039890e-17
13.200000  9.06837444e-02  9.06837444e-02  9.06837444e-02  2.29552516e-16  2.29552516e-16
13.300000  8.74429814e-02  8.74429814e-02  8.74429814e-02  7.93533545e-17  7.93533545e-17
13.400000  8.39225556e-02  8.39225556e-02  8.39225556e-02  8.26821092e-17  1.07486742e-15
13.500000  8.01317478e-02  8.01317478e-02  8.01317478e-02  8.65935674e-17  1.73187135e-16
13.600000  7.60815205e-02  7.60815205e-02  7.60815205e-02  3.64813629e-16  2.73610222e-16
13.700000  7.17844983e-02  7.17844983e-02  7.17844983e-02  0.00000000e+00  9.66628459e-17
13.800000  6.72549374e-02  6.72549374e-02  6.72549374e-02  0.00000000e+00  3.09519011e-16
13.900000  6.25086822e-02  6.25086822e-02  6.25086822e-02  3.33020646e-16  3.33020646e-16
14.000000  5.75631114e-02  5.75631114e-02  5.75631114e-02  0.00000000e+00  0.00000000e+00
14.100000  5.24370702e-02  5.24370702e-02  5.24370702e-02  0.00000000e+00  1.32328024e-16
14.200000  4.71507924e-02  4.71507924e-02  4.71507924e-02  2.20745831e-16  2.20745831e-16
14.300000  4.17258101e-02  4.17258101e-02  4.17258101e-02  2.49446106e-16  2.49446106e-16
14.400000  3.61848524e-02  3.61848524e-02  3.61848524e-02  9.58811967e-17  2.87643590e-16
14.500000  3.05517334e-02  3.05517334e-02  3.05517334e-02  2.83899354e-16  1.13559742e-16
14.600000  2.48512299e-02  2.48512299e-02  2.48512299e-02  3.49021654e-16  5.58434647e-16
14.700000  1.91089496e-02  1.91089496e-02  1.91089496e-02  3.63122727e-16  6.35464772e-16
14.800000  1.33511905e-02  1.33511905e-02  1.33511905e-02  8.44546603e-16  1.68909321e-15
14.900000  7.60479196e-03  7.60479196e-03  7.60479196e-03  1.82487409e-15  5.70273153e-17
15.000000  1.89697900e-03  1.89697900e-03  1.89697900e-03  4.74379423e-15  5.60110644e-15
15.100000 -3.74479981e-03 -3.74479981e-03 -3.74479981e-03  1.50551474e-15  3.70588243e-15
15.200000 -9.29303965e-03 -9.29303965e-03 -9.29303965e-03  1.86669114e-16  2.52003304e-15
